Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.0125566404429,0.0405312616145,24.1496095733
2,0.0,0.00322342971631,0.0153270870098,35.3987485278
3,0.0,0.00183821624669,0.0121631510439,36.8714250999
4,0.0,0.00135146618122,0.00869904938736,37.0476169579
5,0.0,0.00119993846165,0.0103364841663,37.7065473942
6,0.0,0.00113403657451,0.00833407493774,36.6834435958
7,0.0,0.00110977686418,0.0097145898093,37.6725561215
8,0.0,0.00110987490334,0.00891543550533,37.2969677254
9,0.0,0.00109652511019,0.00997937278007,36.5339077042
10,0.0,0.00105240639823,0.012479814468,38.2254891391
11,0.0,0.00105451004347,0.0109818725148,37.5714503059
12,0.0,0.00105736115365,0.0105054609245,37.2370219497
13,0.0,0.00104579069011,0.00856624856242,37.3574370945
14,0.0,0.00106136012182,0.00755557991215,38.2431658987
15,0.0,0.00104720162344,0.0113223972672,36.5467433391
16,0.0,0.00104589153198,0.0102615390788,37.5601937566
17,0.0,0.00103822280362,0.00796345702838,37.8016006538
18,0.0,0.0010367540468,0.00931705362163,37.0208450331
19,0.0,0.00104136158188,0.0071135930717,37.3809598687
20,0.0,0.00103960208944,0.00865484882379,36.5343565435
21,0.0,0.00104613525909,0.0103026719647,36.8868248595
